Strike,Dip,Rake,Misfit
0,10,-80,0.213148156199
0,10,-70,0.1778798381
0,10,-60,0.189705233776
0,15,-100,0.183049731705
0,15,-90,0.108331202102
0,15,-80,0.0709204023699
0,15,-70,0.138832593662
0,20,-100,0.0402491635476
0,20,-90,0.0686948535843
0,20,-80,0.183312196355
0,25,-100,0.139769049634
0,85,50,0.225956688845
5,10,-70,0.212609561654
5,10,-60,0.198556937135
5,10,-50,0.234662801891
5,15,-100,0.215909200713
5,15,-90,0.151744509021
5,15,-80,0.0992953180511
5,15,-70,0.100648311208
5,15,-60,0.177952316757
5,20,-100,0.0837711300869
5,20,-90,0.00552510405126
5,20,-80,0.0985435832389
5,20,-70,0.206836707409
5,25,-100,0.0936640015526
5,25,-90,0.177008150679
10,10,-60,0.226854707655
10,10,-50,0.233659679581
10,15,-100,0.240392601599
10,15,-90,0.186855982025
10,15,-80,0.140017007839
10,15,-70,0.114303496929
10,15,-60,0.139561231334
10,15,-50,0.221820720031
10,20,-100,0.117364291728
10,20,-90,0.046330954505
10,20,-80,0.0329330371083
10,20,-70,0.118724133705
10,20,-60,0.22261646776
10,25,-100,0.077629369788
10,25,-90,0.115463556222
10,25,-80,0.193211627529
10,30,-100,0.202599949615
15,15,-90,0.213541869455
15,15,-80,0.175597516267
15,15,-70,0.149102751782
15,15,-60,0.147896576281
15,15,-50,0.188276126554
15,20,-100,0.141639263928
15,20,-90,0.0845307097221
15,20,-80,0.0345339099631
15,20,-70,0.0609851405804
15,20,-60,0.138188101115
15,20,-50,0.240285622643
15,25,-100,0.0862896285675
15,25,-90,0.0781440609572
15,25,-80,0.120333831693
15,25,-70,0.190476397802
15,30,-100,0.178132484311
15,30,-90,0.224049453265
20,15,-90,0.232655812915
20,15,-80,0.203393920191
20,15,-70,0.183036058498
20,15,-60,0.177597242064
20,15,-50,0.196767386294
20,20,-100,0.158606712586
20,20,-90,0.112409311702
20,20,-80,0.0726726657654
20,20,-70,0.0598168703394
20,20,-60,0.0987095004746
20,20,-50,0.171502516485
20,25,-100,0.104780874497
20,25,-90,0.0695478091243
20,25,-80,0.0681762311148
20,25,-70,0.109628473261
20,25,-60,0.176520440132
20,30,-100,0.173427545203
20,30,-90,0.186435947214
20,30,-80,0.218414224426
25,15,-80,0.223653772052
25,15,-70,0.210512025556
25,15,-60,0.20872470348
25,15,-50,0.22324407079
25,20,-100,0.170770681546
25,20,-90,0.132157430846
25,20,-80,0.102014634027
25,20,-70,0.0892748871504
25,20,-60,0.106755651413
25,20,-50,0.155296853793
25,20,-40,0.233564039823
25,25,-100,0.126405693769
25,25,-90,0.0817346831381
25,25,-80,0.0439346616333
25,25,-70,0.0478979104124
25,25,-60,0.0997187600499
25,25,-50,0.174060635167
25,30,-100,0.184103001363
25,30,-90,0.169847687808
25,30,-80,0.169581654131
25,30,-70,0.18724341015
25,30,-60,0.22696241102
30,15,-80,0.237309655934
30,15,-70,0.230847038588
30,15,-60,0.234616401128
30,20,-100,0.181167244757
30,20,-90,0.146255638986
30,20,-80,0.122696904389
30,20,-70,0.115970196625
30,20,-60,0.131831445743
30,20,-50,0.171400094215
30,20,-40,0.235588648586
30,25,-100,0.151087319966
30,25,-90,0.101812388364
30,25,-80,0.0524621812713
30,25,-70,0.00242751665186
30,25,-60,0.0590249200618
30,25,-50,0.130004482533
30,25,-40,0.222227129221
30,30,-100,0.206371213587
30,30,-90,0.171086319409
30,30,-80,0.142958593589
30,30,-70,0.128444917221
30,30,-60,0.139529370598
30,30,-50,0.186182949306
35,20,-100,0.193448335013
35,20,-90,0.157562806492
35,20,-80,0.136806767935
35,20,-70,0.135086631538
35,20,-60,0.154606984321
35,20,-50,0.194382633959
35,25,-100,0.180810450851
35,25,-90,0.125507263939
35,25,-80,0.0731286273758
35,25,-70,0.031178764779
35,25,-60,0.0598616218472
35,25,-50,0.127684519146
35,25,-40,0.215912295043
35,30,-100,0.238136092169
35,30,-90,0.186096762118
35,30,-80,0.13654628897
35,30,-70,0.0924000368507
35,30,-60,0.0757346981284
35,30,-50,0.120544489894
35,30,-40,0.213919868709
35,35,-70,0.212415662344
35,35,-60,0.191245831579
35,35,-50,0.201927733736
40,20,-100,0.211710811631
40,20,-90,0.169425322317
40,20,-80,0.146873738742
40,20,-70,0.147361986235
40,20,-60,0.170701410268
40,20,-50,0.213433716936
40,25,-100,0.217731869385
40,25,-90,0.153341231983
40,25,-80,0.0959317819787
40,25,-70,0.055932222772
40,25,-60,0.0760356782379
40,25,-50,0.141003696164
40,25,-40,0.228029933147
40,30,-90,0.211692792175
40,30,-80,0.146223115219
40,30,-70,0.0799564825171
40,30,-60,0.0299938352592
40,30,-50,0.0941038186787
40,30,-40,0.199772016277
40,35,-80,0.24061275174
40,35,-70,0.180906654427
40,35,-60,0.12972870292
40,35,-50,0.124929454999
40,35,-40,0.20723206869
40,40,-50,0.218437142158
45,20,-100,0.23991602441
45,20,-90,0.185587192115
45,20,-80,0.15587784765
45,20,-70,0.15462030081
45,20,-60,0.180147625326
45,20,-50,0.226007869936
45,25,-90,0.18698370508
45,25,-80,0.121053062667
45,25,-70,0.0760317628578
45,25,-60,0.0896428945324
45,25,-50,0.153433069593
45,25,-40,0.240686833242
45,30,-80,0.16755821501
45,30,-70,0.0879960608201
45,30,-60,0.00451930436311
45,30,-50,0.091486061546
45,30,-40,0.203193959369
45,35,-70,0.169960068386
45,35,-60,0.0912701517154
45,35,-50,0.077689954441
45,35,-40,0.185822859971
45,40,-60,0.188400747537
45,40,-50,0.138639013921
45,40,-40,0.201971488777
45,45,-50,0.234033063975
50,20,-90,0.209741295562
50,20,-80,0.167287088925
50,20,-70,0.159208037023
50,20,-60,0.184145259382
50,20,-50,0.232260473481
50,25,-90,0.228013614147
50,25,-80,0.150510768839
50,25,-70,0.0953897073375
50,25,-60,0.0986138239077
50,25,-50,0.160342821962
50,30,-80,0.197780890834
50,30,-70,0.108776085555
50,30,-60,0.030335632365
50,30,-50,0.0946299883764
50,30,-40,0.207318576094
50,35,-70,0.176076593505
50,35,-60,0.0760531027637
50,35,-50,0.0514063394229
50,35,-40,0.179620996771
50,40,-60,0.156674434761
50,40,-50,0.0840123186655
50,40,-40,0.173750237337
50,45,-50,0.156477163015
50,45,-40,0.198567590128
55,20,-80,0.18479836069
55,20,-70,0.164039178565
55,20,-60,0.184348606334
55,20,-50,0.233136134407
55,25,-80,0.186202311738
55,25,-70,0.117599994999
55,25,-60,0.105066539289
55,25,-50,0.16159899847
55,30,-80,0.235745545928
55,30,-70,0.137412438944
55,30,-60,0.0547282873638
55,30,-50,0.0957720310178
55,30,-40,0.206726371266
55,35,-70,0.195409940654
55,35,-60,0.0830601672377
55,35,-50,0.0383947316778
55,35,-40,0.17434143053
55,40,-60,0.146754741196
55,40,-50,0.0448738430374
55,40,-40,0.157668361339
55,45,-60,0.217834415645
55,45,-50,0.104686167575
55,45,-40,0.163945615199
55,50,-50,0.174003021753
55,50,-40,0.197848492297
60,20,-80,0.211732348254
60,20,-70,0.172620772111
60,20,-60,0.182841842101
60,20,-50,0.229837429459
60,25,-80,0.229538725942
60,25,-70,0.145486389471
60,25,-60,0.112524796481
60,25,-50,0.158546745729
60,30,-70,0.172535497381
60,30,-60,0.0808501769386
60,30,-50,0.0943750088236
60,30,-40,0.200668364434
60,35,-70,0.224933544077
60,35,-60,0.105150113279
60,35,-50,0.0355252304334
60,35,-40,0.165356151785
60,40,-60,0.155027660861
60,40,-50,0.0197577220594
60,40,-40,0.142654769345
60,45,-60,0.211498635297
60,45,-50,0.073427811128
60,45,-40,0.138331997091
60,50,-50,0.128058119573
60,50,-40,0.157203597779
60,55,-50,0.187656635784
60,55,-40,0.201028407503
65,20,-70,0.188706759597
65,20,-60,0.182325662715
65,20,-50,0.22376646035
65,25,-70,0.180912395698
65,25,-60,0.125018175806
65,25,-50,0.153323664856
65,25,-40,0.236293053222
65,30,-70,0.214164082157
65,30,-60,0.11131135192
65,30,-50,0.0932979473381
65,30,-40,0.18996024589
65,35,-60,0.13633583941
65,35,-50,0.0450573625735
65,35,-40,0.152193817591
65,40,-60,0.177043312376
65,40,-50,0.032948479985
65,40,-40,0.125188205677
65,45,-60,0.221752284474
65,45,-50,0.0660975038245
65,45,-40,0.113671858083
65,50,-50,0.105628854476
65,50,-40,0.122887131794
65,55,-50,0.147251349827
65,55,-40,0.154524203602
65,60,-50,0.194788248466
65,60,-40,0.209759888488
70,20,-70,0.215554578591
70,20,-60,0.18624821357
70,20,-50,0.216669299073
70,25,-70,0.224988927987
70,25,-60,0.145970529495
70,25,-50,0.148950128825
70,25,-40,0.224389437064
70,30,-60,0.14768872068
70,30,-50,0.097393288503
70,30,-40,0.176105360596
70,35,-60,0.174394568775
70,35,-50,0.0667670280929
70,35,-40,0.136198333603
70,40,-60,0.209181559429
70,40,-50,0.065038419248
70,40,-40,0.105527826124
70,45,-50,0.0832472578999
70,45,-40,0.0877292709344
70,50,-50,0.106853891912
70,50,-40,0.0890927577834
70,55,-50,0.131347194315
70,55,-40,0.112532125508
70,60,-50,0.158269911592
70,60,-40,0.157098694033
70,65,-50,0.194497106301
70,65,-40,0.226081465234
75,20,-60,0.19853700617
75,20,-50,0.210890616739
75,25,-60,0.177323396917
75,25,-50,0.149489006224
75,25,-40,0.210928557099
75,30,-60,0.190898111194
75,30,-50,0.111562047777
75,30,-40,0.161345797367
75,35,-60,0.218841014963
75,35,-50,0.0980686021461
75,35,-40,0.120297860513
75,40,-50,0.102923133815
75,40,-40,0.0870062489815
75,40,-30,0.239883528459
75,45,-50,0.115217937748
75,45,-40,0.0628097044894
75,45,-30,0.235655855808
75,50,-50,0.127800387389
75,50,-40,0.0546231149623
75,55,-50,0.138030500336
75,55,-40,0.0706206283565
75,60,-50,0.146604472772
75,60,-40,0.108195846636
75,65,-50,0.159008891683
75,65,-40,0.166419163161
75,70,-50,0.190357207541
80,20,-60,0.222779920032
80,20,-50,0.209618194461
80,25,-60,0.219736571398
80,25,-50,0.159507641566
80,25,-40,0.198146338077
80,30,-60,0.241546916511
80,30,-50,0.138091600345
80,30,-40,0.149178995133
80,35,-50,0.137461654224
80,35,-40,0.109853973217
80,35,-30,0.2283016272
80,40,-50,0.146102799149
80,40,-40,0.0778306314496
80,40,-30,0.209573057189
80,45,-50,0.155617462428
80,45,-40,0.0508495931176
80,45,-30,0.200627165059
80,50,-50,0.161669128922
80,50,-40,0.028673494824
80,50,-30,0.202903907918
80,55,-50,0.162259285956
80,55,-40,0.0276029372541
80,55,-30,0.218169667739
80,60,-50,0.157016682478
80,60,-40,0.0594741746414
80,65,-50,0.148838284108
80,65,-40,0.110723506509
80,70,-50,0.15082305399
80,70,-40,0.184242574865
80,75,-50,0.195845159436
85,20,-50,0.216832464909
85,25,-50,0.18253624818
85,25,-40,0.189321661407
85,30,-50,0.176631882475
85,30,-40,0.144817838243
85,30,-30,0.233294037757
85,35,-50,0.184414410966
85,35,-40,0.112546938506
85,35,-30,0.202106424242
85,40,-50,0.194907033935
85,40,-40,0.0888112990647
85,40,-30,0.179459451701
85,45,-50,0.202389075538
85,45,-40,0.0692473254336
85,45,-30,0.165813989123
85,50,-50,0.204060443931
85,50,-40,0.0492575035475
85,50,-30,0.162495625571
85,55,-50,0.198290435606
85,55,-40,0.0245103452226
85,55,-30,0.171395523157
85,60,-50,0.18398661791
85,60,-40,0.00920885998495
85,60,-30,0.194399678165
85,65,-50,0.161359053861
85,65,-40,0.0559625855416
85,65,-30,0.233194787697
85,70,-50,0.13729253922
85,70,-40,0.121276461185
85,75,-50,0.144256581453
85,75,-40,0.2121731864
85,80,-50,0.234449112467
90,20,-50,0.236642718791
90,25,-50,0.219993486694
90,25,-40,0.188938869213
90,30,-50,0.226191308658
90,30,-40,0.154152843587
90,30,-30,0.212540162981
90,35,-50,0.238889551509
90,35,-40,0.133646232367
90,35,-30,0.178925728434
90,40,-40,0.120806645191
90,40,-30,0.153288949284
90,45,-40,0.10950909432
90,45,-30,0.135243661268
90,50,-40,0.0950932886789
90,50,-30,0.125715336602
90,55,-40,0.0741439130864
90,55,-30,0.127059274611
90,60,-50,0.22205757528
90,60,-40,0.0438662090114
90,60,-30,0.142109820492
90,65,-50,0.190530784039
90,65,-40,0.00765989299838
90,65,-30,0.172800654047
90,70,-50,0.149144428304
90,70,-40,0.0601895197124
90,70,-30,0.220236951726
90,75,-50,0.117155593389
90,75,-40,0.141291087566
90,80,-50,0.165147069317
95,25,-40,0.201872470188
95,25,-30,0.240770662618
95,30,-40,0.180664779008
95,30,-30,0.197435874375
95,35,-40,0.172138731789
95,35,-30,0.164139403262
95,40,-40,0.16747584791
95,40,-30,0.138302118593
95,45,-40,0.160902645889
95,45,-30,0.117963964866
95,50,-40,0.14897467889
95,50,-30,0.102486765182
95,55,-40,0.129391390505
95,55,-30,0.0936775011355
95,60,-40,0.10016083617
95,60,-30,0.0964153890104
95,65,-50,0.230523296221
95,65,-40,0.0591486327101
95,65,-30,0.115910686143
95,70,-50,0.179659949588
95,70,-40,0.0092306560769
95,70,-30,0.153783452042
95,75,-50,0.120673240631
95,75,-40,0.0732486864748
95,75,-30,0.209659696365
95,80,-60,0.236195267406
95,80,-50,0.112452470163
95,80,-40,0.171807748192
95,85,-60,0.242023068156
95,85,-50,0.233458058144
100,25,-40,0.231623570104
100,25,-30,0.2332732559
100,30,-40,0.224192800899
100,30,-30,0.193537401411
100,35,-40,0.224744870301
100,35,-30,0.165296776284
100,40,-40,0.22489543339
100,40,-30,0.144206322477
100,40,-20,0.228368198363
100,45,-40,0.220413085207
100,45,-30,0.126506530164
100,45,-20,0.211863421224
100,50,-40,0.209113154292
100,50,-30,0.109574268196
100,50,-20,0.201698823071
100,55,-40,0.189553266939
100,55,-30,0.0925273679126
100,55,-20,0.198148934752
100,60,-40,0.160362160052
100,60,-30,0.0777441760439
100,60,-20,0.20183410694
100,65,-40,0.119872730474
100,65,-30,0.0741050048838
100,65,-20,0.21354040118
100,70,-50,0.221509830762
100,70,-40,0.0659125423909
100,70,-30,0.093646952816
100,70,-20,0.234030841486
100,75,-50,0.149847754809
100,75,-40,0.00814554914504
100,75,-30,0.137448711586
100,80,-60,0.231331027446
100,80,-50,0.0868267729327
100,80,-40,0.0965140666042
100,80,-30,0.20129222725
100,85,-60,0.191106087997
100,85,-50,0.159895247699
100,85,-40,0.212886698347
105,25,-30,0.23783850617
105,30,-30,0.206902167899
105,35,-30,0.188253907105
105,35,-20,0.229058460164
105,40,-30,0.175375437448
105,40,-20,0.203874688298
105,45,-30,0.163437819761
105,45,-20,0.184556544167
105,50,-30,0.149377125169
105,50,-20,0.170288449129
105,55,-30,0.131494042658
105,55,-20,0.16091449329
105,60,-40,0.224982339081
105,60,-30,0.109278629608
105,60,-20,0.157011852373
105,65,-40,0.184309005617
105,65,-30,0.0843466545391
105,65,-20,0.159773341089
105,70,-40,0.131197187522
105,70,-30,0.065557427553
105,70,-20,0.170623829247
105,75,-50,0.193221490309
105,75,-40,0.0632648289217
105,75,-30,0.0763812941899
105,75,-20,0.190737004233
105,80,-60,0.241169899145
105,80,-50,0.102305721096
105,80,-40,0.0226956908012
105,80,-30,0.123561332326
105,80,-20,0.220821978938
105,85,-60,0.159028129354
105,85,-50,0.097159934112
105,85,-40,0.130280607736
105,85,-30,0.194577590292
110,30,-30,0.241220778906
110,35,-30,0.23336582237
110,35,-20,0.219617656809
110,40,-30,0.228199716193
110,40,-20,0.196179985498
110,45,-30,0.221196253044
110,45,-20,0.177936747191
110,50,-30,0.209988105281
110,50,-20,0.16301263644
110,55,-30,0.193355015512
110,55,-20,0.150288232722
110,60,-30,0.170663690706
110,60,-20,0.13955320756
110,65,-30,0.141732160511
110,65,-20,0.131671021018
110,65,-10,0.2393401388
110,70,-40,0.199894379745
110,70,-30,0.107399874738
110,70,-20,0.128675013464
110,70,-10,0.235340659944
110,75,-40,0.1335313636
110,75,-30,0.0731931903833
110,75,-20,0.133422599743
110,75,-10,0.233982613031
110,80,-50,0.144718366967
110,80,-40,0.051398605193
110,80,-30,0.0657294283688
110,80,-20,0.148493858059
110,80,-10,0.235188027642
110,85,-60,0.146555330684
110,85,-50,0.058049534802
110,85,-40,0.050288488458
110,85,-30,0.111542288342
110,85,-20,0.175131017537
110,85,-10,0.238877051739
115,35,-20,0.230792775096
115,40,-20,0.214180543315
115,45,-20,0.20179243776
115,50,-20,0.190888140174
115,50,-10,0.237203043242
115,55,-20,0.179735592367
115,55,-10,0.222084614213
115,60,-20,0.16744485358
115,60,-10,0.20964523853
115,65,-30,0.216758129002
115,65,-20,0.153847548936
115,65,-10,0.199405677994
115,70,-30,0.180700103926
115,70,-20,0.139544903606
115,70,-10,0.190992722778
115,75,-40,0.206824215067
115,75,-30,0.138221260074
115,75,-20,0.126215439236
115,75,-10,0.184120696233
115,80,-50,0.1975526372
115,80,-40,0.127108359121
115,80,-30,0.0924577449738
115,80,-20,0.117155306696
115,80,-10,0.1785609954
115,85,-60,0.152517084938
115,85,-50,0.077936117321
115,85,-40,0.0321976110721
115,85,-30,0.0638785309176
115,85,-20,0.117330414416
115,85,-10,0.174099477979
115,85,0,0.2356142298
120,50,-10,0.230668448678
120,55,-10,0.218585476507
120,60,-20,0.233846411089
120,60,-10,0.20911219496
120,65,-20,0.220724236061
120,65,-10,0.201496784554
120,70,-20,0.204647171733
120,70,-10,0.195197325833
120,75,-30,0.22318583278
120,75,-20,0.185950381691
120,75,-10,0.189868953793
120,80,-40,0.205553255848
120,80,-30,0.173650000507
120,80,-20,0.165333773009
120,80,-10,0.18534809732
120,80,0,0.232685379274
120,85,-70,0.236144137741
120,85,-60,0.171862631183
120,85,-50,0.130668877721
120,85,-40,0.112939438819
120,85,-30,0.119236771557
120,85,-20,0.144159561562
120,85,-10,0.181649015999
120,85,0,0.229831934655
125,85,-70,0.227021536687
125,85,-60,0.198765516198
125,85,-50,0.190680065163
125,85,-40,0.197243018822
125,85,-30,0.214515502462
125,85,-20,0.240385519357
130,85,-80,0.239005596398
130,85,-70,0.21969077117
130,85,-60,0.229006518196
135,85,-80,0.19658294184
135,85,-70,0.211981489058
140,85,-90,0.218802338737
140,85,-80,0.156131867033
140,85,-70,0.201761640114
145,85,-90,0.215094158982
145,85,-80,0.120083363082
145,85,-70,0.186863930346
150,80,-100,0.221596674678
150,80,-90,0.173239587458
150,85,-90,0.232057165511
150,85,-80,0.0963577434978
150,85,-70,0.165017469055
155,75,-100,0.21175475799
155,80,-100,0.227898218516
155,80,-90,0.122558996248
155,80,-80,0.195868359723
155,85,-80,0.0987889444403
155,85,-70,0.133818235366
160,75,-100,0.144575418256
160,75,-90,0.206751682332
160,80,-90,0.11417460379
160,80,-80,0.129583095015
160,85,-80,0.129357710076
160,85,-70,0.090795123992
165,70,-100,0.201433986095
165,75,-100,0.128491973104
165,75,-90,0.121896423723
165,80,-90,0.143985443692
165,80,-80,0.0620375753034
165,85,-80,0.176016900062
165,85,-70,0.0336640019171
170,70,-100,0.115386866925
170,70,-90,0.238419544281
170,75,-100,0.148234230293
170,75,-90,0.0581747986151
170,75,-80,0.192871073599
170,80,-90,0.186422732614
170,80,-80,0.0364117316559
170,80,-70,0.190263814995
170,85,-80,0.230058027218
170,85,-70,0.0392059485877
175,65,-100,0.206478630962
175,70,-100,0.0628389004418
175,70,-90,0.147058977996
175,75,-100,0.175917972154
175,75,-90,0.0623316492485
175,75,-80,0.105135077585
175,80,-90,0.228366608071
175,80,-80,0.0989215705626
175,80,-70,0.101576793342
175,85,-70,0.127731439728
175,85,-60,0.189588720468
